Animal: Tipo,Contagem
Ave: Pássaro,5917
Macaco/Guariba/Bugio/Prego/Guigó,4498
Mico/Sagui/Soinho,3554
Morcego,2765
Outro,2565
Ave: Outra (Beija-flor/Jacu/Pica-pau/Siriema/Tucano),2518
Ave: Aquática/Marinha,1559
Cobra,1518
Ave: Rapina (Águia/Coruja/Falcão/Gavião/Urubu),1404
Anfíbio: Perereca/Rã/Salamandra/Sapo,1192
Ave: Avoante/Pomba/Rolinha,1163
Gambá/Cuíca/Saruê,840
Ave: Arara/Maracanã/Papagaio/Periquito,812
Cachorro/Cão doméstico,802
Gato do Mato/Jaguatirica/Jaguarundi,760
Cachorro do Mato/Raposa/Graxaim,675
Lagarto,668
Cotia/Mocó/Preá,652
Capivara,645
Quati/Guaxinim/Furão,375
Gato doméstico,356
Tatu,343
Tartaruga,333
Tamanduá,258
Veado/Cervo,227
Esquilo/Caxinguelê,222
Anta,208
Preguiça,175
Onça Parda (Suçuarana/Leão Baio/Onça Vermelha),161
Cavalo/Burro/Mula/Jumento,141
Ouriço/Porco espinho,137
Rato/Camundongo,130
Porco do mato (Caititu/Cateto/Queixada),122
Jacaré,102
Jabuti,97
Onça Pintada ou Preta,94
Lobo Guará,91
Peixe de água doce,84
Peixe do mar,60
Coelho/Lebre/Tapiti,59
Paca,52
Golfinho/Boto,36
Ave: Pinguim,34
Baleia,30
Javaporco / Porco Monteiro,19
Javali,14
Peixe: Arraias/Lampréia/Tubarão,14
Peixe Boi,5
TOTAL,38486
